Repo,File,Function,Line,CCN,Grade,Priority
jeeves-core,jeeves_memory_module\repositories\chunk_repository.py,_cosine_similarity,415,7,B,LOW
jeeves-core,jeeves_memory_module\repositories\session_state_repository.py,_row_to_session_state,384,7,B,LOW
jeeves-core,jeeves_memory_module\services\code_indexer.py,discover_files,157,7,B,LOW
jeeves-core,jeeves_memory_module\services\session_state_adapter.py,_avionics_focus_to_core,358,7,B,LOW
jeeves-core,jeeves_memory_module\services\tool_health_service.py,check_all_tools_health,257,7,B,LOW
jeeves-core,jeeves_memory_module\services\tool_health_service.py,get_error_patterns,381,7,B,LOW
jeeves-core,jeeves_memory_module\services\tool_health_service.py,get_tool_health,485,7,B,LOW
jeeves-core,jeeves_memory_module\services\xref_manager.py,CrossRefManager,19,7,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\test_event_emitter_memory.py,test_emits_event,38,7,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\test_event_emitter_memory.py,TestFocusChangedEvent,172,7,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\test_event_emitter_memory.py,TestEntityReferencedEvent,196,7,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\repositories\test_trace_repository.py,TestTrace,11,7,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\services\test_tool_health_service.py,test_to_dict_serialization,591,7,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\services\test_trace_recorder.py,test_start_trace,50,7,B,LOW
jeeves-core,jeeves_avionics\capability_registry.py,_apply_env_overrides,103,6,B,LOW
jeeves-core,jeeves_avionics\database\connection_manager.py,rate_limit_check,77,6,B,LOW
jeeves-core,jeeves_avionics\database\postgres_client.py,execute_script,568,6,B,LOW
jeeves-core,jeeves_avionics\database\postgres_client.py,update,648,6,B,LOW
jeeves-core,jeeves_avionics\database\postgres_graph.py,find_path,282,6,B,LOW
jeeves-core,jeeves_avionics\distributed\redis_bus.py,get_queue_stats,372,6,B,LOW
jeeves-core,jeeves_avionics\gateway\event_bus.py,emit,85,6,B,LOW
jeeves-core,jeeves_avionics\gateway\sse.py,format_sse_event,14,6,B,LOW
jeeves-core,jeeves_avionics\gateway\sse.py,merge_sse_streams,144,6,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\chat.py,list_sessions,762,6,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\chat.py,ResponseReadyHandler,361,6,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\health.py,get_tool_health,234,6,B,LOW
jeeves-core,jeeves_avionics\llm\cost_calculator.py,calculate_cost,84,6,B,LOW
jeeves-core,jeeves_avionics\llm\gateway.py,_call_provider_with_span,349,6,B,LOW
jeeves-core,jeeves_avionics\llm\providers\azure.py,AzureAIFoundryProvider,18,6,B,LOW
jeeves-core,jeeves_avionics\llm\providers\mock.py,MockProvider,14,6,B,LOW
jeeves-core,jeeves_avionics\llm\providers\mock.py,_mock_delete_plan,197,6,B,LOW
